Game_Date,Opponent,Year,Coach,Record,Season_Wins,Season_Losses,Season_Ties,Season_Conference,Season_Conference_Place,BYU_Win,BYU_Score,Opponent_Score,Away
10/21,UTEP,1989,LaVell Edwards,10-3,10,3,0,Western Athletic,1.0,1,49,24,0
10/28,Hawaii,1989,LaVell Edwards,10-3,10,3,0,Western Athletic,1.0,0,14,56,1
11/4,Oregon,1989,LaVell Edwards,10-3,10,3,0,Western Athletic,1.0,1,45,41,0
11/11,Air Force,1989,LaVell Edwards,10-3,10,3,0,Western Athletic,1.0,1,44,35,0
11/18,Utah,1989,LaVell Edwards,10-3,10,3,0,Western Athletic,1.0,1,70,31,0
11/25,San Diego State,1989,LaVell Edwards,10-3,10,3,0,Western Athletic,1.0,1,48,27,1
12/29,Penn State,1989,LaVell Edwards,10-3,10,3,0,Western Athletic,1.0,0,39,50,1
9/1,Wyoming,1988,LaVell Edwards,9-4,9,4,0,Western Athletic,3.0,0,14,24,1
9/8,Texas,1988,LaVell Edwards,9-4,9,4,0,Western Athletic,3.0,1,47,6,0
9/17,UTEP,1988,LaVell Edwards,9-4,9,4,0,Western Athletic,3.0,1,31,27,0
9/30,Utah State,1988,LaVell Edwards,9-4,9,4,0,Western Athletic,3.0,1,38,3,0
10/8,Colorado State,1988,LaVell Edwards,9-4,9,4,0,Western Athletic,3.0,1,42,7,0
10/15,Texas Christian,1988,LaVell Edwards,9-4,9,4,0,Western Athletic,3.0,1,31,18,0
10/22,Hawaii,1988,LaVell Edwards,9-4,9,4,0,Western Athletic,3.0,1,24,23,1
10/29,New Mexico,1988,LaVell Edwards,9-4,9,4,0,Western Athletic,3.0,1,65,0,0
11/5,San Diego State,1988,LaVell Edwards,9-4,9,4,0,Western Athletic,3.0,0,15,27,1
11/12,Air Force,1988,LaVell Edwards,9-4,9,4,0,Western Athletic,3.0,1,49,31,1
11/19,Utah,1988,LaVell Edwards,9-4,9,4,0,Western Athletic,3.0,0,28,57,1
12/3,Miami,1988,LaVell Edwards,9-4,9,4,0,Western Athletic,3.0,0,17,41,1
12/29,Colorado,1988,LaVell Edwards,9-4,9,4,0,Western Athletic,3.0,1,20,17,1
9/2,Pittsburgh,1987,LaVell Edwards,9-4,9,4,0,Western Athletic,2.0,0,17,27,0
9/12,Texas,1987,LaVell Edwards,9-4,9,4,0,Western Athletic,2.0,1,22,17,1
9/19,Texas Christian,1987,LaVell Edwards,9-4,9,4,0,Western Athletic,2.0,0,12,33,1
9/26,New Mexico,1987,LaVell Edwards,9-4,9,4,0,Western Athletic,2.0,1,45,25,1
10/2,Utah State,1987,LaVell Edwards,9-4,9,4,0,Western Athletic,2.0,1,45,24,0
10/10,Wyoming,1987,LaVell Edwards,9-4,9,4,0,Western Athletic,2.0,0,27,29,0
10/24,Hawaii,1987,LaVell Edwards,9-4,9,4,0,Western Athletic,2.0,1,16,14,1
10/31,Air Force,1987,LaVell Edwards,9-4,9,4,0,Western Athletic,2.0,1,24,13,0
11/7,San Diego State,1987,LaVell Edwards,9-4,9,4,0,Western Athletic,2.0,1,38,21,0
11/14,UTEP,1987,LaVell Edwards,9-4,9,4,0,Western Athletic,2.0,1,37,24,1
11/21,Utah,1987,LaVell Edwards,9-4,9,4,0,Western Athletic,2.0,1,21,18,0
12/5,Colorado State,1987,LaVell Edwards,9-4,9,4,0,Western Athletic,2.0,1,30,26,0
12/22,Virginia,1987,LaVell Edwards,9-4,9,4,0,Western Athletic,2.0,0,16,22,1
9/6,Utah State,1986,LaVell Edwards,8-5,8,5,0,Western Athletic,2.0,1,52,0,0
9/13,New Mexico,1986,LaVell Edwards,8-5,8,5,0,Western Athletic,2.0,1,31,30,0
9/20,Washington,1986,LaVell Edwards,8-5,8,5,0,Western Athletic,2.0,0,21,52,1
9/27,Temple,1986,LaVell Edwards,8-5,8,5,0,Western Athletic,2.0,1,27,17,0
10/3,Colorado State,1986,LaVell Edwards,8-5,8,5,0,Western Athletic,2.0,0,20,24,0
10/18,Wyoming,1986,LaVell Edwards,8-5,8,5,0,Western Athletic,2.0,1,34,22,1
10/25,UTEP,1986,LaVell Edwards,8-5,8,5,0,Western Athletic,2.0,1,37,13,0
11/8,Hawaii,1986,LaVell Edwards,8-5,8,5,0,Western Athletic,2.0,1,10,3,1
11/15,Oregon State,1986,LaVell Edwards,8-5,8,5,0,Western Athletic,2.0,0,7,10,0
11/22,Utah,1986,LaVell Edwards,8-5,8,5,0,Western Athletic,2.0,1,35,21,1
11/29,San Diego State,1986,LaVell Edwards,8-5,8,5,0,Western Athletic,2.0,0,3,10,1
12/6,Air Force,1986,LaVell Edwards,8-5,8,5,0,Western Athletic,2.0,1,23,3,1
12/30,UCLA,1986,LaVell Edwards,8-5,8,5,0,Western Athletic,2.0,0,10,31,1
8/29,Boston College,1985,LaVell Edwards,11-3,11,3,0,Western Athletic,1.0,1,28,14,1
9/7,UCLA,1985,LaVell Edwards,11-3,11,3,0,Western Athletic,1.0,0,24,27,0
9/14,Washington,1985,LaVell Edwards,11-3,11,3,0,Western Athletic,1.0,1,31,3,0
9/21,Temple,1985,LaVell Edwards,11-3,11,3,0,Western Athletic,1.0,1,26,24,1
10/5,Colorado State,1985,LaVell Edwards,11-3,11,3,0,Western Athletic,1.0,1,42,7,1
10/12,San Diego St,1985,LaVell Edwards,11-3,11,3,0,Western Athletic,1.0,1,28,0,0
10/19,New Mexico,1985,LaVell Edwards,11-3,11,3,0,Western Athletic,1.0,1,45,23,1
10/26,UTEP,1985,LaVell Edwards,11-3,11,3,0,Western Athletic,1.0,0,16,23,1
11/2,Wyoming,1985,LaVell Edwards,11-3,11,3,0,Western Athletic,1.0,1,59,0,0
11/9,Utah State,1985,LaVell Edwards,11-3,11,3,0,Western Athletic,1.0,1,44,0,1
11/16,Air Force,1985,LaVell Edwards,11-3,11,3,0,Western Athletic,1.0,1,28,21,0
11/23,Utah,1985,LaVell Edwards,11-3,11,3,0,Western Athletic,1.0,1,38,28,0
12/7,Hawaii,1985,LaVell Edwards,11-3,11,3,0,Western Athletic,1.0,1,26,6,1
12/28,Ohio State,1985,LaVell Edwards,11-3,11,3,0,Western Athletic,1.0,0,7,10,1
9/1,Pittsburgh,1984,LaVell Edwards,13-0,13,0,0,Western Athletic,1.0,1,20,14,1
9/8,Baylor,1984,LaVell Edwards,13-0,13,0,0,Western Athletic,1.0,1,47,13,0
9/15,Tulsa,1984,LaVell Edwards,13-0,13,0,0,Western Athletic,1.0,1,38,15,0
9/22,Hawaii,1984,LaVell Edwards,13-0,13,0,0,Western Athletic,1.0,1,18,13,1
10/6,Colorado State,1984,LaVell Edwards,13-0,13,0,0,Western Athletic,1.0,1,52,9,1
10/13,Wyoming,1984,LaVell Edwards,13-0,13,0,0,Western Athletic,1.0,1,41,38,0
10/20,Air Force,1984,LaVell Edwards,13-0,13,0,0,Western Athletic,1.0,1,30,25,1
10/25,New Mexico,1984,LaVell Edwards,13-0,13,0,0,Western Athletic,1.0,1,48,0,1
11/3,UTEP,1984,LaVell Edwards,13-0,13,0,0,Western Athletic,1.0,1,42,9,0
11/10,San Diego State,1984,LaVell Edwards,13-0,13,0,0,Western Athletic,1.0,1,34,3,0
11/17,Utah,1984,LaVell Edwards,13-0,13,0,0,Western Athletic,1.0,1,24,14,1
11/24,Utah State,1984,LaVell Edwards,13-0,13,0,0,Western Athletic,1.0,1,38,13,0
12/21,Michigan,1984,LaVell Edwards,13-0,13,0,0,Western Athletic,1.0,1,24,17,1
9/10,Baylor,1983,LaVell Edwards,11-1,11,1,0,Western Athletic,1.0,0,36,40,1
9/17,Bowling Green,1983,LaVell Edwards,11-1,11,1,0,Western Athletic,1.0,1,63,28,0
9/24,Air Force,1983,LaVell Edwards,11-1,11,1,0,Western Athletic,1.0,1,46,28,1
10/1,UCLA,1983,LaVell Edwards,11-1,11,1,0,Western Athletic,1.0,1,37,35,1
10/8,Wyoming,1983,LaVell Edwards,11-1,11,1,0,Western Athletic,1.0,1,41,10,1
10/15,New Mexico,1983,LaVell Edwards,11-1,11,1,0,Western Athletic,1.0,1,66,21,0
10/22,San Diego State,1983,LaVell Edwards,11-1,11,1,0,Western Athletic,1.0,1,47,12,1
10/29,Utah State,1983,LaVell Edwards,11-1,11,1,0,Western Athletic,1.0,1,38,34,0
11/5,UTEP,1983,LaVell Edwards,11-1,11,1,0,Western Athletic,1.0,1,31,9,1
11/12,Colorado State,1983,LaVell Edwards,11-1,11,1,0,Western Athletic,1.0,1,24,6,0
11/19,Utah,1983,LaVell Edwards,11-1,11,1,0,Western Athletic,1.0,1,55,7,0
12/23,Missouri,1983,LaVell Edwards,11-1,11,1,0,Western Athletic,1.0,1,21,17,1
9/2,UNLV,1982,LaVell Edwards,8-4,8,4,0,Western Athletic,1.0,1,27,0,1
9/11,Georgia,1982,LaVell Edwards,8-4,8,4,0,Western Athletic,1.0,0,14,17,1
9/25,Air Force,1982,LaVell Edwards,8-4,8,4,0,Western Athletic,1.0,0,38,39,0
10/2,UTEP,1982,LaVell Edwards,8-4,8,4,0,Western Athletic,1.0,1,51,3,1
10/9,New Mexico,1982,LaVell Edwards,8-4,8,4,0,Western Athletic,1.0,1,40,12,1
10/16,Hawaii,1982,LaVell Edwards,8-4,8,4,0,Western Athletic,1.0,1,39,25,0
10/23,Colorado State,1982,LaVell Edwards,8-4,8,4,0,Western Athletic,1.0,1,34,18,0
10/30,Utah State,1982,LaVell Edwards,8-4,8,4,0,Western Athletic,1.0,0,17,20,1
11/6,Wyoming,1982,LaVell Edwards,8-4,8,4,0,Western Athletic,1.0,1,23,13,0
11/13,San Diego State,1982,LaVell Edwards,8-4,8,4,0,Western Athletic,1.0,1,58,8,0
11/20,Utah,1982,LaVell Edwards,8-4,8,4,0,Western Athletic,1.0,1,17,12,1
12/17,Ohio State,1982,LaVell Edwards,8-4,8,4,0,Western Athletic,1.0,0,17,42,1
9/5,Long Beach St,1981,LaVell Edwards,11-2,11,2,0,Western Athletic,1.0,1,31,8,1
9/12,Air Force,1981,LaVell Edwards,11-2,11,2,0,Western Athletic,1.0,1,45,21,0
9/19,UTEP,1981,LaVell Edwards,11-2,11,2,0,Western Athletic,1.0,1,65,8,1
9/26,Colorado,1981,LaVell Edwards,11-2,11,2,0,Western Athletic,1.0,1,41,20,1
10/2,Utah State,1981,LaVell Edwards,11-2,11,2,0,Western Athletic,1.0,1,32,26,0
10/10,UNLV,1981,LaVell Edwards,11-2,11,2,0,Western Athletic,1.0,0,41,45,0
10/17,San Diego St,1981,LaVell Edwards,11-2,11,2,0,Western Athletic,1.0,1,27,7,1
10/24,Wyoming,1981,LaVell Edwards,11-2,11,2,0,Western Athletic,1.0,0,20,33,1
10/31,New Mexico,1981,LaVell Edwards,11-2,11,2,0,Western Athletic,1.0,1,31,7,0
11/7,Colorado State,1981,LaVell Edwards,11-2,11,2,0,Western Athletic,1.0,1,63,14,1
11/14,Hawaii,1981,LaVell Edwards,11-2,11,2,0,Western Athletic,1.0,1,13,3,1
11/21,Utah,1981,LaVell Edwards,11-2,11,2,0,Western Athletic,1.0,1,56,28,0
12/18,Wash St,1981,LaVell Edwards,11-2,11,2,0,Western Athletic,1.0,1,38,36,1
9/6,New Mexico,1980,LaVell Edwards,12-1,12,1,0,Western Athletic,1.0,0,21,25,1
9/13,San Diego State,1980,LaVell Edwards,12-1,12,1,0,Western Athletic,1.0,1,35,11,0
9/20,Wisconsin,1980,LaVell Edwards,12-1,12,1,0,Western Athletic,1.0,1,28,3,1
9/27,Long Beach State,1980,LaVell Edwards,12-1,12,1,0,Western Athletic,1.0,1,41,25,0
10/11,Wyoming,1980,LaVell Edwards,12-1,12,1,0,Western Athletic,1.0,1,52,17,0
10/18,Utah State,1980,LaVell Edwards,12-1,12,1,0,Western Athletic,1.0,1,70,46,1
10/25,Hawaii,1980,LaVell Edwards,12-1,12,1,0,Western Athletic,1.0,1,34,7,1
11/1,UTEP,1980,LaVell Edwards,12-1,12,1,0,Western Athletic,1.0,1,83,7,0
11/8,North Texas State,1980,LaVell Edwards,12-1,12,1,0,Western Athletic,1.0,1,41,23,0
11/15,Colorado State,1980,LaVell Edwards,12-1,12,1,0,Western Athletic,1.0,1,45,14,0
11/22,Utah,1980,LaVell Edwards,12-1,12,1,0,Western Athletic,1.0,1,56,6,1
11/29,UNLV,1980,LaVell Edwards,12-1,12,1,0,Western Athletic,1.0,1,54,14,1
12/19,SMU,1980,LaVell Edwards,12-1,12,1,0,Western Athletic,1.0,1,46,45,1
9/8,Texas A&M,1979,LaVell Edwards,11-1,11,1,0,Western Athletic,1.0,1,18,17,1
9/15,Weber State,1979,LaVell Edwards,11-1,11,1,0,Western Athletic,1.0,1,48,3,0
9/29,UTEP,1979,LaVell Edwards,11-1,11,1,0,Western Athletic,1.0,1,31,7,0
10/5,Hawaii,1979,LaVell Edwards,11-1,11,1,0,Western Athletic,1.0,1,38,15,0
10/13,Utah State,1979,LaVell Edwards,11-1,11,1,0,Western Athletic,1.0,1,48,24,1
10/20,Wyoming,1979,LaVell Edwards,11-1,11,1,0,Western Athletic,1.0,1,54,14,1
10/27,New Mexico,1979,LaVell Edwards,11-1,11,1,0,Western Athletic,1.0,1,59,7,0
11/3,Colorado State,1979,LaVell Edwards,11-1,11,1,0,Western Athletic,1.0,1,30,7,1
11/9,Long Beach St,1979,LaVell Edwards,11-1,11,1,0,Western Athletic,1.0,1,31,17,1
11/17,Utah,1979,LaVell Edwards,11-1,11,1,0,Western Athletic,1.0,1,27,0,0
11/24,San Diego State,1979,LaVell Edwards,11-1,11,1,0,Western Athletic,1.0,1,63,14,1
12/21,Indiana,1979,LaVell Edwards,11-1,11,1,0,Western Athletic,1.0,0,37,38,1
9/9,Oregon State,1978,LaVell Edwards,9-4,9,4,0,Western Athletic,1.0,1,10,6,1
9/16,Arizona State,1978,LaVell Edwards,9-4,9,4,0,Western Athletic,1.0,0,16,24,1
9/23,Colorado State,1978,LaVell Edwards,9-4,9,4,0,Western Athletic,1.0,1,32,6,0
9/30,New Mexico,1978,LaVell Edwards,9-4,9,4,0,Western Athletic,1.0,1,27,23,1
10/7,Utah State,1978,LaVell Edwards,9-4,9,4,0,Western Athletic,1.0,0,7,24,0
10/14,Oregon,1978,LaVell Edwards,9-4,9,4,0,Western Athletic,1.0,1,17,16,1
10/21,UTEP,1978,LaVell Edwards,9-4,9,4,0,Western Athletic,1.0,1,44,0,0
11/4,Wyoming,1978,LaVell Edwards,9-4,9,4,0,Western Athletic,1.0,1,48,14,0
11/11,San Diego State,1978,LaVell Edwards,9-4,9,4,0,Western Athletic,1.0,1,21,3,0
11/18,Utah,1978,LaVell Edwards,9-4,9,4,0,Western Athletic,1.0,0,22,23,1
11/25,Hawaii,1978,LaVell Edwards,9-4,9,4,0,Western Athletic,1.0,1,31,13,1
12/2,UNLV,1978,LaVell Edwards,9-4,9,4,0,Western Athletic,1.0,1,28,24,1
12/22,Navy,1978,LaVell Edwards,9-4,9,4,0,Western Athletic,1.0,0,16,23,1
9/10,Kansas State,1977,LaVell Edwards,9-2,9,2,0,Western Athletic,1.0,1,39,0,0
9/24,Utah St,1977,LaVell Edwards,9-2,9,2,0,Western Athletic,1.0,1,65,6,1
9/30,New Mexico,1977,LaVell Edwards,9-2,9,2,0,Western Athletic,1.0,1,54,19,0
10/8,Oregon State,1977,LaVell Edwards,9-2,9,2,0,Western Athletic,1.0,0,19,24,1
10/15,Colorado State,1977,LaVell Edwards,9-2,9,2,0,Western Athletic,1.0,1,63,17,1
10/22,Wyoming,1977,LaVell Edwards,9-2,9,2,0,Western Athletic,1.0,1,10,7,1
10/29,Arizona,1977,LaVell Edwards,9-2,9,2,0,Western Athletic,1.0,1,34,14,0
11/5,Utah,1977,LaVell Edwards,9-2,9,2,0,Western Athletic,1.0,1,38,8,0
11/12,Arizona State,1977,LaVell Edwards,9-2,9,2,0,Western Athletic,1.0,0,13,24,1
11/19,Long Beach State,1977,LaVell Edwards,9-2,9,2,0,Western Athletic,1.0,1,30,27,0
11/26,UTEP,1977,LaVell Edwards,9-2,9,2,0,Western Athletic,1.0,1,68,19,1
9/11,Kansas St,1976,LaVell Edwards,9-3,9,3,0,Western Athletic,1.0,0,3,13,1
9/18,Colorado St,1976,LaVell Edwards,9-3,9,3,0,Western Athletic,1.0,1,42,18,0
9/25,Arizona,1976,LaVell Edwards,9-3,9,3,0,Western Athletic,1.0,1,23,16,1
10/2,San Diego St,1976,LaVell Edwards,9-3,9,3,0,Western Athletic,1.0,1,8,0,1
10/9,Wyoming,1976,LaVell Edwards,9-3,9,3,0,Western Athletic,1.0,0,29,34,0
10/16,S Mississippi,1976,LaVell Edwards,9-3,9,3,0,Western Athletic,1.0,1,63,19,0
10/23,Utah State,1976,LaVell Edwards,9-3,9,3,0,Western Athletic,1.0,1,45,14,0
10/30,Arizona St,1976,LaVell Edwards,9-3,9,3,0,Western Athletic,1.0,1,43,21,0
11/6,UTEP,1976,LaVell Edwards,9-3,9,3,0,Western Athletic,1.0,1,40,27,0
11/13,New Mexico,1976,LaVell Edwards,9-3,9,3,0,Western Athletic,1.0,1,21,8,1
11/20,Utah,1976,LaVell Edwards,9-3,9,3,0,Western Athletic,1.0,1,34,12,1
12/18,Okla St,1976,LaVell Edwards,9-3,9,3,0,Western Athletic,1.0,0,21,49,1
9/13,Bowling Green,1975,LaVell Edwards,6-5,6,5,0,Western Athletic,4.0,0,21,23,0
9/20,Colorado St,1975,LaVell Edwards,6-5,6,5,0,Western Athletic,4.0,0,17,21,1
9/27,Arizona St,1975,LaVell Edwards,6-5,6,5,0,Western Athletic,4.0,0,0,20,1
10/3,New Mexico,1975,LaVell Edwards,6-5,6,5,0,Western Athletic,4.0,1,16,15,0
10/11,Air Force,1975,LaVell Edwards,6-5,6,5,0,Western Athletic,4.0,1,28,14,0
10/25,Wyoming,1975,LaVell Edwards,6-5,6,5,0,Western Athletic,4.0,1,33,20,1
11/1,Arizona,1975,LaVell Edwards,6-5,6,5,0,Western Athletic,4.0,0,20,36,0
11/8,Utah St,1975,LaVell Edwards,6-5,6,5,0,Western Athletic,4.0,1,24,7,1
11/15,Utah,1975,LaVell Edwards,6-5,6,5,0,Western Athletic,4.0,1,51,20,0
11/22,UTEP,1975,LaVell Edwards,6-5,6,5,0,Western Athletic,4.0,1,20,10,1
11/29,S Mississippi,1975,LaVell Edwards,6-5,6,5,0,Western Athletic,4.0,0,14,42,1
9/14,Hawaii,1974,LaVell Edwards,7-4-1,7,4,1,Western Athletic,1.0,0,13,15,1
9/21,Utah State,1974,LaVell Edwards,7-4-1,7,4,1,Western Athletic,1.0,0,6,9,0
9/28,Iowa State,1974,LaVell Edwards,7-4-1,7,4,1,Western Athletic,1.0,0,7,34,1
10/5,Colorado State,1974,LaVell Edwards,7-4-1,7,4,1,Western Athletic,1.0,0,33,33,1
10/12,Wyoming,1974,LaVell Edwards,7-4-1,7,4,1,Western Athletic,1.0,1,38,7,0
10/19,UTEP,1974,LaVell Edwards,7-4-1,7,4,1,Western Athletic,1.0,1,45,21,0
10/26,Arizona,1974,LaVell Edwards,7-4-1,7,4,1,Western Athletic,1.0,1,37,13,1
11/2,Air Force,1974,LaVell Edwards,7-4-1,7,4,1,Western Athletic,1.0,1,12,10,1
11/9,Arizona State,1974,LaVell Edwards,7-4-1,7,4,1,Western Athletic,1.0,1,21,18,0
11/16,New Mexico,1974,LaVell Edwards,7-4-1,7,4,1,Western Athletic,1.0,1,36,3,1
11/23,Utah,1974,LaVell Edwards,7-4-1,7,4,1,Western Athletic,1.0,1,48,20,0
12/28,Okla St,1974,LaVell Edwards,7-4-1,7,4,1,Western Athletic,1.0,0,6,16,1
9/15,Colorado State,1973,LaVell Edwards,5-6,5,6,0,Western Athletic,4.0,0,13,21,0
9/29,Oregon State,1973,LaVell Edwards,5-6,5,6,0,Western Athletic,4.0,1,37,14,0
10/6,Utah State,1973,LaVell Edwards,5-6,5,6,0,Western Athletic,4.0,0,7,13,1
10/13,Iowa State,1973,LaVell Edwards,5-6,5,6,0,Western Athletic,4.0,0,24,26,0
10/20,Arizona State,1973,LaVell Edwards,5-6,5,6,0,Western Athletic,4.0,0,12,52,1
10/27,Wyoming,1973,LaVell Edwards,5-6,5,6,0,Western Athletic,4.0,0,21,41,1
11/3,New Mexico,1973,LaVell Edwards,5-6,5,6,0,Western Athletic,4.0,1,56,21,0
11/10,Arizona,1973,LaVell Edwards,5-6,5,6,0,Western Athletic,4.0,0,10,24,0
11/17,Weber State,1973,LaVell Edwards,5-6,5,6,0,Western Athletic,4.0,1,45,14,0
11/24,Utah,1973,LaVell Edwards,5-6,5,6,0,Western Athletic,4.0,1,46,22,1
12/1,UTEP,1973,LaVell Edwards,5-6,5,6,0,Western Athletic,4.0,1,63,0,1
9/16,Kansas State,1972,LaVell Edwards,7-4,7,4,0,Western Athletic,2.0,1,32,9,0
9/23,Utah State,1972,LaVell Edwards,7-4,7,4,0,Western Athletic,2.0,0,19,42,0
9/30,Oregon State,1972,LaVell Edwards,7-4,7,4,0,Western Athletic,2.0,0,3,29,1
10/7,Long Beach St,1972,LaVell Edwards,7-4,7,4,0,Western Athletic,2.0,1,38,27,1
