Game_Date,Opponent,Year,Coach,Record,Season_Wins,Season_Losses,Season_Ties,Season_Conference,Season_Conference_Place,BYU_Win,BYU_Score,Opponent_Score,Away
9/23,Arizona State,1950,Chick Atkinson,4-5-1,4,5,1,Mountain States,5.0,0,13,41,0
9/29,Pepperdine,1950,Chick Atkinson,4-5-1,4,5,1,Mountain States,5.0,1,28,27,0
10/7,Utah,1950,Chick Atkinson,4-5-1,4,5,1,Mountain States,5.0,0,28,28,0
10/14,Colorado A&M,1950,Chick Atkinson,4-5-1,4,5,1,Mountain States,5.0,0,14,27,1
10/21,Denver,1950,Chick Atkinson,4-5-1,4,5,1,Mountain States,5.0,0,3,42,1
11/4,Utah State,1950,Chick Atkinson,4-5-1,4,5,1,Mountain States,5.0,1,34,13,1
11/11,Wyoming,1950,Chick Atkinson,4-5-1,4,5,1,Mountain States,5.0,0,0,48,0
11/17,Montana,1950,Chick Atkinson,4-5-1,4,5,1,Mountain States,5.0,1,25,6,1
11/25,Fort Hood,1950,Chick Atkinson,4-5-1,4,5,1,Mountain States,5.0,1,28,4,0
9/17,Texas Western,1949,Chick Atkinson,0-11,0,11,0,Mountain States,6.0,0,6,27,0
9/23,Pacific Fleet,1949,Chick Atkinson,0-11,0,11,0,Mountain States,6.0,0,13,27,0
10/1,San Jose State,1949,Chick Atkinson,0-11,0,11,0,Mountain States,6.0,0,21,40,0
10/8,Utah,1949,Chick Atkinson,0-11,0,11,0,Mountain States,6.0,0,0,38,1
10/15,Arizona State,1949,Chick Atkinson,0-11,0,11,0,Mountain States,6.0,0,21,49,1
10/22,Denver,1949,Chick Atkinson,0-11,0,11,0,Mountain States,6.0,0,7,35,1
10/29,Wyoming,1949,Chick Atkinson,0-11,0,11,0,Mountain States,6.0,0,0,45,1
11/5,Utah State,1949,Chick Atkinson,0-11,0,11,0,Mountain States,6.0,0,3,22,0
11/11,Colorado A&M,1949,Chick Atkinson,0-11,0,11,0,Mountain States,6.0,0,14,16,0
11/19,Montana,1949,Chick Atkinson,0-11,0,11,0,Mountain States,6.0,0,6,25,1
11/26,Pepperdine,1949,Chick Atkinson,0-11,0,11,0,Mountain States,6.0,0,14,28,1
9/18,San Diego State,1948,Eddie Kimball,5-6,5,6,0,Mountain States,5.0,1,14,6,0
9/24,Pepperdine,1948,Eddie Kimball,5-6,5,6,0,Mountain States,5.0,1,13,0,0
10/1,Pacific Fleet,1948,Eddie Kimball,5-6,5,6,0,Mountain States,5.0,0,7,9,0
10/9,Utah,1948,Eddie Kimball,5-6,5,6,0,Mountain States,5.0,0,0,30,0
10/15,Texas El-Paso,1948,Eddie Kimball,5-6,5,6,0,Mountain States,5.0,0,20,34,1
10/23,Utah State,1948,Eddie Kimball,5-6,5,6,0,Mountain States,5.0,0,7,20,1
10/30,Montana,1948,Eddie Kimball,5-6,5,6,0,Mountain States,5.0,1,26,20,0
11/5,San Jose State,1948,Eddie Kimball,5-6,5,6,0,Mountain States,5.0,0,6,21,1
11/13,Colorado A&M,1948,Eddie Kimball,5-6,5,6,0,Mountain States,5.0,0,0,20,1
11/20,Wyoming,1948,Eddie Kimball,5-6,5,6,0,Mountain States,5.0,1,15,14,0
11/26,Arizona State,1948,Eddie Kimball,5-6,5,6,0,Mountain States,5.0,1,27,25,1
9/20,Western State,1947,Eddie Kimball,3-7,3,7,0,Mountain States,7.0,1,45,0,0
9/26,Montana State,1947,Eddie Kimball,3-7,3,7,0,Mountain States,7.0,1,19,14,0
10/4,Wyoming,1947,Eddie Kimball,3-7,3,7,0,Mountain States,7.0,0,7,12,1
10/11,Utah,1947,Eddie Kimball,3-7,3,7,0,Mountain States,7.0,0,6,28,1
10/18,Colorado,1947,Eddie Kimball,3-7,3,7,0,Mountain States,7.0,0,7,9,1
10/25,Utah State,1947,Eddie Kimball,3-7,3,7,0,Mountain States,7.0,1,27,12,0
11/1,Denver,1947,Eddie Kimball,3-7,3,7,0,Mountain States,7.0,0,6,20,1
11/8,San Jose State,1947,Eddie Kimball,3-7,3,7,0,Mountain States,7.0,0,19,28,0
11/15,Colorado A&M,1947,Eddie Kimball,3-7,3,7,0,Mountain States,7.0,0,25,27,0
11/22,San Diego St,1947,Eddie Kimball,3-7,3,7,0,Mountain States,7.0,0,7,32,1
9/21,Western State,1946,Eddie Kimball,5-4-1,5,4,1,Mountain States,4.0,1,13,2,0
9/28,Montana State,1946,Eddie Kimball,5-4-1,5,4,1,Mountain States,4.0,0,12,13,1
10/4,Denver,1946,Eddie Kimball,5-4-1,5,4,1,Mountain States,4.0,0,13,26,1
10/12,Utah,1946,Eddie Kimball,5-4-1,5,4,1,Mountain States,4.0,0,6,35,0
10/19,Denver,1946,Eddie Kimball,5-4-1,5,4,1,Mountain States,4.0,1,10,7,0
10/25,San Jose St,1946,Eddie Kimball,5-4-1,5,4,1,Mountain States,4.0,0,0,14,1
11/2,Wyoming,1946,Eddie Kimball,5-4-1,5,4,1,Mountain States,4.0,1,6,3,0
11/9,Utah State,1946,Eddie Kimball,5-4-1,5,4,1,Mountain States,4.0,0,0,0,1
11/16,Colorado A&M,1946,Eddie Kimball,5-4-1,5,4,1,Mountain States,4.0,1,20,6,1
11/22,Texas El-Paso,1946,Eddie Kimball,5-4-1,5,4,1,Mountain States,4.0,1,14,13,1
9/26,Montana,1942,Floyd Millet,2-5,2,5,0,Mountain States,6.0,1,12,6,1
10/2,Wyoming,1942,Floyd Millet,2-5,2,5,0,Mountain States,6.0,0,6,13,0
10/10,Utah,1942,Floyd Millet,2-5,2,5,0,Mountain States,6.0,1,12,7,1
10/16,Fort Douglas,1942,Floyd Millet,2-5,2,5,0,Mountain States,6.0,0,13,24,0
10/31,Utah State,1942,Floyd Millet,2-5,2,5,0,Mountain States,6.0,0,6,9,0
11/7,Denver,1942,Floyd Millet,2-5,2,5,0,Mountain States,6.0,0,6,26,0
11/14,Colorado,1942,Floyd Millet,2-5,2,5,0,Mountain States,6.0,1,48,0,1
9/26,Montana St,1941,Eddie Kimball,4-3-2,4,3,2,Mountain States,2.0,0,7,20,0
10/3,Western State,1941,Eddie Kimball,4-3-2,4,3,2,Mountain States,2.0,1,26,0,0
10/10,Denver,1941,Eddie Kimball,4-3-2,4,3,2,Mountain States,2.0,1,13,7,1
10/18,Utah,1941,Eddie Kimball,4-3-2,4,3,2,Mountain States,2.0,0,6,6,1
10/24,San Francisco,1941,Eddie Kimball,4-3-2,4,3,2,Mountain States,2.0,0,13,25,1
11/1,Utah State,1941,Eddie Kimball,4-3-2,4,3,2,Mountain States,2.0,1,28,0,1
11/8,Wyoming,1941,Eddie Kimball,4-3-2,4,3,2,Mountain States,2.0,1,23,7,1
11/15,Colorado,1941,Eddie Kimball,4-3-2,4,3,2,Mountain States,2.0,0,13,13,0
11/22,Colorado A&M,1941,Eddie Kimball,4-3-2,4,3,2,Mountain States,2.0,0,7,22,0
9/27,Nevada,1940,Eddie Kimball,2-4-2,2,4,2,Mountain States,4.0,0,6,6,0
10/5,Utah,1940,Eddie Kimball,2-4-2,2,4,2,Mountain States,4.0,0,6,12,1
10/11,Wyoming,1940,Eddie Kimball,2-4-2,2,4,2,Mountain States,4.0,1,20,0,0
10/18,Texas Tech,1940,Eddie Kimball,2-4-2,2,4,2,Mountain States,4.0,0,12,21,1
11/2,Utah State,1940,Eddie Kimball,2-4-2,2,4,2,Mountain States,4.0,1,12,7,0
11/9,Denver,1940,Eddie Kimball,2-4-2,2,4,2,Mountain States,4.0,0,0,9,0
11/16,Colorado,1940,Eddie Kimball,2-4-2,2,4,2,Mountain States,4.0,0,2,25,1
11/23,Colo A&M,1940,Eddie Kimball,2-4-2,2,4,2,Mountain States,4.0,0,13,13,1
9/23,Northern Ariz,1939,Eddie Kimball,5-2-2,5,2,2,Mountain States,4.0,1,25,0,1
10/7,Colorado A&M,1939,Eddie Kimball,5-2-2,5,2,2,Mountain States,4.0,1,13,12,0
10/14,Utah,1939,Eddie Kimball,5-2-2,5,2,2,Mountain States,4.0,0,13,35,0
10/21,Nevada,1939,Eddie Kimball,5-2-2,5,2,2,Mountain States,4.0,1,7,0,1
10/27,Western State,1939,Eddie Kimball,5-2-2,5,2,2,Mountain States,4.0,1,18,6,1
11/4,Denver,1939,Eddie Kimball,5-2-2,5,2,2,Mountain States,4.0,1,21,18,1
11/11,Utah State,1939,Eddie Kimball,5-2-2,5,2,2,Mountain States,4.0,0,0,0,1
11/18,Colorado,1939,Eddie Kimball,5-2-2,5,2,2,Mountain States,4.0,0,6,12,0
11/25,Wyoming,1939,Eddie Kimball,5-2-2,5,2,2,Mountain States,4.0,0,7,7,1
9/24,Northern Arizona,1938,Eddie Kimball,4-3-1,4,3,1,Mountain States,2.0,1,19,0,0
9/30,Denver,1938,Eddie Kimball,4-3-1,4,3,1,Mountain States,2.0,1,20,0,1
10/8,Wyoming,1938,Eddie Kimball,4-3-1,4,3,1,Mountain States,2.0,1,24,13,0
10/15,Utah,1938,Eddie Kimball,4-3-1,4,3,1,Mountain States,2.0,0,7,7,1
10/22,Portland,1938,Eddie Kimball,4-3-1,4,3,1,Mountain States,2.0,0,3,6,0
11/5,Utah State,1938,Eddie Kimball,4-3-1,4,3,1,Mountain States,2.0,0,0,3,0
11/12,Colorado,1938,Eddie Kimball,4-3-1,4,3,1,Mountain States,2.0,0,0,8,1
11/19,Colo A&M,1938,Eddie Kimball,4-3-1,4,3,1,Mountain States,2.0,1,20,12,1
9/25,Colo St Teachers,1937,Eddie Kimball,6-3,6,3,0,Rocky Mountain,2.0,1,7,0,0
10/2,Utah,1937,Eddie Kimball,6-3,6,3,0,Rocky Mountain,2.0,0,0,14,1
10/9,California Davis,1937,Eddie Kimball,6-3,6,3,0,Rocky Mountain,2.0,1,34,0,0
10/16,Colorado,1937,Eddie Kimball,6-3,6,3,0,Rocky Mountain,2.0,0,0,14,1
10/23,Portland,1937,Eddie Kimball,6-3,6,3,0,Rocky Mountain,2.0,0,10,13,1
10/30,Western State,1937,Eddie Kimball,6-3,6,3,0,Rocky Mountain,2.0,1,21,0,0
11/6,Wyoming,1937,Eddie Kimball,6-3,6,3,0,Rocky Mountain,2.0,1,19,0,1
11/13,Utah St,1937,Eddie Kimball,6-3,6,3,0,Rocky Mountain,2.0,1,54,10,1
11/20,Montana State,1937,Eddie Kimball,6-3,6,3,0,Rocky Mountain,2.0,1,19,0,0
9/25,Arizona,1936,G. Ott Romney,4-5,4,5,0,Rocky Mountain,6.0,0,6,32,1
10/3,Montana State,1936,G. Ott Romney,4-5,4,5,0,Rocky Mountain,6.0,1,19,0,0
10/9,Colo Teachers,1936,G. Ott Romney,4-5,4,5,0,Rocky Mountain,6.0,1,33,0,1
10/17,Utah State,1936,G. Ott Romney,4-5,4,5,0,Rocky Mountain,6.0,0,0,13,0
10/31,Utah,1936,G. Ott Romney,4-5,4,5,0,Rocky Mountain,6.0,0,0,18,1
11/7,Western State,1936,G. Ott Romney,4-5,4,5,0,Rocky Mountain,6.0,1,26,12,0
11/14,Denver,1936,G. Ott Romney,4-5,4,5,0,Rocky Mountain,6.0,0,7,35,1
11/21,Wyoming,1936,G. Ott Romney,4-5,4,5,0,Rocky Mountain,6.0,1,32,7,0
11/28,Colo College,1936,G. Ott Romney,4-5,4,5,0,Rocky Mountain,6.0,0,0,6,1
9/28,Montana State,1935,G. Ott Romney,4-4,4,4,0,Rocky Mountain,6.0,0,0,7,1
10/12,Colo St Teachers,1935,G. Ott Romney,4-4,4,4,0,Rocky Mountain,6.0,1,19,3,0
10/19,Colorado College,1935,G. Ott Romney,4-4,4,4,0,Rocky Mountain,6.0,0,12,13,0
10/26,Wyoming,1935,G. Ott Romney,4-4,4,4,0,Rocky Mountain,6.0,1,13,6,1
11/2,Utah,1935,G. Ott Romney,4-4,4,4,0,Rocky Mountain,6.0,0,0,32,0
11/9,Western State,1935,G. Ott Romney,4-4,4,4,0,Rocky Mountain,6.0,1,21,2,1
11/16,Utah State,1935,G. Ott Romney,4-4,4,4,0,Rocky Mountain,6.0,0,0,27,1
11/23,Arizona State,1935,G. Ott Romney,4-4,4,4,0,Rocky Mountain,6.0,1,13,0,1
9/22,Montana State,1934,G. Ott Romney,4-5,4,5,0,Rocky Mountain,7.0,1,20,6,1
9/29,Occidental,1934,G. Ott Romney,4-5,4,5,0,Rocky Mountain,7.0,1,32,7,0
10/6,Wyoming,1934,G. Ott Romney,4-5,4,5,0,Rocky Mountain,7.0,0,0,7,1
10/13,Utah,1934,G. Ott Romney,4-5,4,5,0,Rocky Mountain,7.0,0,0,43,1
10/20,Colorado,1934,G. Ott Romney,4-5,4,5,0,Rocky Mountain,7.0,0,6,48,1
10/26,Montana State,1934,G. Ott Romney,4-5,4,5,0,Rocky Mountain,7.0,1,16,7,0
11/3,Utah State,1934,G. Ott Romney,4-5,4,5,0,Rocky Mountain,7.0,0,0,15,0
11/10,Colo College,1934,G. Ott Romney,4-5,4,5,0,Rocky Mountain,7.0,1,34,0,1
11/17,Denver,1934,G. Ott Romney,4-5,4,5,0,Rocky Mountain,7.0,0,6,24,1
9/23,US Marines,1933,G. Ott Romney,5-4,5,4,0,Rocky Mountain,5.0,0,0,21,1
9/30,Montana State,1933,G. Ott Romney,5-4,5,4,0,Rocky Mountain,5.0,1,25,0,0
10/6,Colo Teachers,1933,G. Ott Romney,5-4,5,4,0,Rocky Mountain,5.0,1,6,2,1
10/14,Utah,1933,G. Ott Romney,5-4,5,4,0,Rocky Mountain,5.0,0,6,21,1
10/21,Western State,1933,G. Ott Romney,5-4,5,4,0,Rocky Mountain,5.0,1,13,0,1
11/4,Denver,1933,G. Ott Romney,5-4,5,4,0,Rocky Mountain,5.0,0,0,6,1
11/11,Colo College,1933,G. Ott Romney,5-4,5,4,0,Rocky Mountain,5.0,1,25,0,1
11/18,Utah State,1933,G. Ott Romney,5-4,5,4,0,Rocky Mountain,5.0,0,0,14,1
11/30,Wyoming,1933,G. Ott Romney,5-4,5,4,0,Rocky Mountain,5.0,1,6,3,0
9/23,Montana State,1932,G. Ott Romney,8-1,8,1,0,Rocky Mountain,2.0,1,6,0,1
10/1,Western State,1932,G. Ott Romney,8-1,8,1,0,Rocky Mountain,2.0,1,28,6,1
10/7,Occidental,1932,G. Ott Romney,8-1,8,1,0,Rocky Mountain,2.0,1,46,0,1
10/15,Utah,1932,G. Ott Romney,8-1,8,1,0,Rocky Mountain,2.0,0,0,29,1
10/22,Colo St Teachers,1932,G. Ott Romney,8-1,8,1,0,Rocky Mountain,2.0,1,20,2,0
10/29,Wyoming,1932,G. Ott Romney,8-1,8,1,0,Rocky Mountain,2.0,1,25,0,1
11/4,Idaho State,1932,G. Ott Romney,8-1,8,1,0,Rocky Mountain,2.0,1,32,0,1
11/19,Utah State,1932,G. Ott Romney,8-1,8,1,0,Rocky Mountain,2.0,1,18,6,0
11/24,South Dakota,1932,G. Ott Romney,8-1,8,1,0,Rocky Mountain,2.0,1,13,7,1
9/18,UAY All-Stars,1931,G. Ott Romney,4-4,4,4,0,Rocky Mountain,7.0,1,7,3,1
9/25,San Francisco,1931,G. Ott Romney,4-4,4,4,0,Rocky Mountain,7.0,0,0,25,1
10/3,Nevada,1931,G. Ott Romney,4-4,4,4,0,Rocky Mountain,7.0,1,18,14,1
10/17,Utah,1931,G. Ott Romney,4-4,4,4,0,Rocky Mountain,7.0,0,0,43,1
10/24,Western State,1931,G. Ott Romney,4-4,4,4,0,Rocky Mountain,7.0,1,31,0,0
10/31,Colo Teachers,1931,G. Ott Romney,4-4,4,4,0,Rocky Mountain,7.0,0,0,6,1
11/7,Utah State,1931,G. Ott Romney,4-4,4,4,0,Rocky Mountain,7.0,1,6,0,1
11/13,Wyoming,1931,G. Ott Romney,4-4,4,4,0,Rocky Mountain,7.0,0,7,13,0
9/27,Wyoming,1930,G. Ott Romney,5-2-4,5,2,4,Rocky Mountai,3.0,1,19,12,0
10/4,Nevada,1930,G. Ott Romney,5-2-4,5,2,4,Rocky Mountai,3.0,0,6,6,0
10/11,Colo Teachers,1930,G. Ott Romney,5-2-4,5,2,4,Rocky Mountai,3.0,0,7,7,1
10/18,Utah,1930,G. Ott Romney,5-2-4,5,2,4,Rocky Mountai,3.0,0,7,24,1
10/25,Western St,1930,G. Ott Romney,5-2-4,5,2,4,Rocky Mountai,3.0,1,25,0,1
11/1,Utah St,1930,G. Ott Romney,5-2-4,5,2,4,Rocky Mountai,3.0,1,39,14,1
11/8,Mt St Charles,1930,G. Ott Romney,5-2-4,5,2,4,Rocky Mountai,3.0,0,13,13,1
11/15,Montana St,1930,G. Ott Romney,5-2-4,5,2,4,Rocky Mountai,3.0,1,19,6,0
11/22,Regis,1930,G. Ott Romney,5-2-4,5,2,4,Rocky Mountai,3.0,1,18,6,1
11/27,College of Idaho,1930,G. Ott Romney,5-2-4,5,2,4,Rocky Mountai,3.0,0,13,13,1
12/10,Hawai'i,1930,G. Ott Romney,5-2-4,5,2,4,Rocky Mountai,3.0,0,13,49,1
9/28,Nevada,1929,G. Ott Romney,5-3,5,3,0,Rocky Mountain,4.0,1,10,7,1
10/5,Calif Davis,1929,G. Ott Romney,5-3,5,3,0,Rocky Mountain,4.0,0,0,19,1
10/12,Montana State,1929,G. Ott Romney,5-3,5,3,0,Rocky Mountain,4.0,0,12,13,0
10/18,Utah St,1929,G. Ott Romney,5-3,5,3,0,Rocky Mountain,4.0,1,7,6,1
10/26,Western State,1929,G. Ott Romney,5-3,5,3,0,Rocky Mountain,4.0,1,33,12,0
11/2,Utah,1929,G. Ott Romney,5-3,5,3,0,Rocky Mountain,4.0,0,13,45,1
11/11,Colo St Teachers,1929,G. Ott Romney,5-3,5,3,0,Rocky Mountain,4.0,1,25,13,0
11/23,Wyoming,1929,G. Ott Romney,5-3,5,3,0,Rocky Mountain,4.0,1,40,0,0
9/29,College of Idaho,1928,G. Ott Romney,3-3-1,3,3,1,Rocky Mountain,10.0,1,9,6,0
10/6,UC Davis,1928,G. Ott Romney,3-3-1,3,3,1,Rocky Mountain,10.0,1,7,6,0
10/13,Colo A&M,1928,G. Ott Romney,3-3-1,3,3,1,Rocky Mountain,10.0,0,6,15,1
10/20,Western St,1928,G. Ott Romney,3-3-1,3,3,1,Rocky Mountain,10.0,1,46,0,1
10/27,Utah State,1928,G. Ott Romney,3-3-1,3,3,1,Rocky Mountain,10.0,0,0,10,0
11/3,Montana St,1928,G. Ott Romney,3-3-1,3,3,1,Rocky Mountain,10.0,0,7,19,1
11/17,Utah,1928,G. Ott Romney,3-3-1,3,3,1,Rocky Mountain,10.0,0,0,0,1
10/8,Colo A&M,1927,C.J. Hart,2-4-1,2,4,1,Rocky Mountain,7.0,0,0,29,1
10/15,UC Davis,1927,C.J. Hart,2-4-1,2,4,1,Rocky Mountain,7.0,0,0,0,1
10/22,Col Teachers,1927,C.J. Hart,2-4-1,2,4,1,Rocky Mountain,7.0,0,7,21,0
10/29,Utah State,1927,C.J. Hart,2-4-1,2,4,1,Rocky Mountain,7.0,0,0,22,1
11/5,Western State,1927,C.J. Hart,2-4-1,2,4,1,Rocky Mountain,7.0,1,60,7,0
11/12,Utah,1927,C.J. Hart,2-4-1,2,4,1,Rocky Mountain,7.0,0,0,20,0
11/19,Colorado Mines,1927,C.J. Hart,2-4-1,2,4,1,Rocky Mountain,7.0,1,38,19,0
10/2,UC Davis,1926,C.J. Hart,1-5-1,1,5,1,Rocky Mountain,9.0,0,0,17,0
10/9,Colo Teachers,1926,C.J. Hart,1-5-1,1,5,1,Rocky Mountain,9.0,0,6,12,1
10/15,Utah State,1926,C.J. Hart,1-5-1,1,5,1,Rocky Mountain,9.0,0,0,0,0
10/23,Western State,1926,C.J. Hart,1-5-1,1,5,1,Rocky Mountain,9.0,1,30,0,1
11/6,Montana State,1926,C.J. Hart,1-5-1,1,5,1,Rocky Mountain,9.0,0,0,27,1
11/13,Utah,1926,C.J. Hart,1-5-1,1,5,1,Rocky Mountain,9.0,0,7,40,1
11/20,Colorado A&M,1926,C.J. Hart,1-5-1,1,5,1,Rocky Mountain,9.0,0,6,19,0
10/10,Colo A&M,1925,C.J. Hart,3-3,3,3,0,Rocky Mountain,6.0,0,0,21,1
10/17,Colo Coll,1925,C.J. Hart,3-3,3,3,0,Rocky Mountain,6.0,1,7,6,0
10/24,Utah State,1925,C.J. Hart,3-3,3,3,0,Rocky Mountain,6.0,0,0,14,1
10/31,Utah,1925,C.J. Hart,3-3,3,3,0,Rocky Mountain,6.0,0,0,27,0
11/7,Western State,1925,C.J. Hart,3-3,3,3,0,Rocky Mountain,6.0,1,39,7,0
11/21,Montana State,1925,C.J. Hart,3-3,3,3,0,Rocky Mountain,6.0,1,16,7,0
10/3,Colo College,1924,Alvin Twitchell,2-3-1,2,3,1,Rocky Mountain,,1,3,0,1
10/11,Montana St,1924,Alvin Twitchell,2-3-1,2,3,1,Rocky Mountain,,0,0,13,1
10/25,Utah,1924,Alvin Twitchell,2-3-1,2,3,1,Rocky Mountain,,0,0,35,1
11/7,Utah St,1924,Alvin Twitchell,2-3-1,2,3,1,Rocky Mountain,,0,0,14,0
11/11,Western St,1924,Alvin Twitchell,2-3-1,2,3,1,Rocky Mountain,,1,26,13,1
11/15,Colo Mines,1924,Alvin Twitchell,2-3-1,2,3,1,Rocky Mountain,,0,0,0,1
9/29,Montana State,1923,Alvin Twitchell,2-5,2,5,0,Rocky Mountain,7.0,1,16,15,0
10/13,Colo A&M,1923,Alvin Twitchell,2-5,2,5,0,Rocky Mountain,7.0,0,6,14,1
10/20,Colorado,1923,Alvin Twitchell,2-5,2,5,0,Rocky Mountain,7.0,0,0,41,1
10/27,Utah,1923,Alvin Twitchell,2-5,2,5,0,Rocky Mountain,7.0,0,0,15,0
11/3,Western State,1923,Alvin Twitchell,2-5,2,5,0,Rocky Mountain,7.0,1,19,0,0
11/12,Utah State,1923,Alvin Twitchell,2-5,2,5,0,Rocky Mountain,7.0,0,0,40,1
11/29,Colo College,1923,Alvin Twitchell,2-5,2,5,0,Rocky Mountain,7.0,0,6,31,1
10/7,Utah State,1922,Alvin Twitchell,1-5,1,5,0,Rocky Mountain,8.0,0,3,41,0
10/14,Utah,1922,Alvin Twitchell,1-5,1,5,0,Rocky Mountain,8.0,0,0,49,1
10/24,Colo Mines,1922,Alvin Twitchell,1-5,1,5,0,Rocky Mountain,8.0,0,0,47,0
11/14,Wyoming,1922,Alvin Twitchell,1-5,1,5,0,Rocky Mountain,8.0,1,7,0,0
11/25,Colo A&M,1922,Alvin Twitchell,1-5,1,5,0,Rocky Mountain,8.0,0,0,33,1
11/30,Wyoming,1922,Alvin Twitchell,1-5,1,5,0,Rocky Mountain,8.0,0,0,13,1
